key: 9   	color: RED  	rank: 1 	size: 1 	parent: 16  	lchild: NIL 	rchild: NIL 
key: 16  	color: BLACK	rank: 2 	size: 3 	parent: 27  	lchild: 9   	rchild: 18  
key: 18  	color: RED  	rank: 3 	size: 1 	parent: 16  	lchild: NIL 	rchild: NIL 
key: 27  	color: BLACK	rank: 4 	size: 6 	parent: 50  	lchild: 16  	rchild: 31  
key: 31  	color: BLACK	rank: 5 	size: 2 	parent: 27  	lchild: NIL 	rchild: 42  
key: 42  	color: RED  	rank: 6 	size: 1 	parent: 31  	lchild: NIL 	rchild: NIL 
key: 50  	color: BLACK	rank: 7 	size: 22	parent: 379 	lchild: 27  	rchild: 195 
key: 69  	color: RED  	rank: 8 	size: 1 	parent: 93  	lchild: NIL 	rchild: NIL 
key: 93  	color: BLACK	rank: 9 	size: 3 	parent: 99  	lchild: 69  	rchild: 97  
key: 97  	color: RED  	rank: 10	size: 1 	parent: 93  	lchild: NIL 	rchild: NIL 
key: 99  	color: RED  	rank: 11	size: 5 	parent: 136 	lchild: 93  	rchild: 114 
key: 114 	color: BLACK	rank: 12	size: 1 	parent: 99  	lchild: NIL 	rchild: NIL 
key: 136 	color: BLACK	rank: 13	size: 10	parent: 195 	lchild: 99  	rchild: 163 
key: 148 	color: BLACK	rank: 14	size: 1 	parent: 163 	lchild: NIL 	rchild: NIL 
key: 163 	color: RED  	rank: 15	size: 4 	parent: 136 	lchild: 148 	rchild: 170 
key: 170 	color: BLACK	rank: 16	size: 2 	parent: 163 	lchild: NIL 	rchild: 189 
key: 189 	color: RED  	rank: 17	size: 1 	parent: 170 	lchild: NIL 	rchild: NIL 
key: 195 	color: RED  	rank: 18	size: 15	parent: 50  	lchild: 136 	rchild: 328 
key: 206 	color: BLACK	rank: 19	size: 1 	parent: 328 	lchild: NIL 	rchild: NIL 
key: 328 	color: BLACK	rank: 20	size: 4 	parent: 195 	lchild: 206 	rchild: 342 
key: 342 	color: BLACK	rank: 21	size: 2 	parent: 328 	lchild: NIL 	rchild: 350 
key: 350 	color: RED  	rank: 22	size: 1 	parent: 342 	lchild: NIL 	rchild: NIL 
key: 379 	color: BLACK	rank: 23	size: 48	parent: NIL 	lchild: 50  	rchild: 667 
key: 394 	color: RED  	rank: 24	size: 1 	parent: 399 	lchild: NIL 	rchild: NIL 
key: 399 	color: BLACK	rank: 25	size: 3 	parent: 465 	lchild: 394 	rchild: 455 
key: 455 	color: RED  	rank: 26	size: 1 	parent: 399 	lchild: NIL 	rchild: NIL 
key: 465 	color: RED  	rank: 27	size: 5 	parent: 500 	lchild: 399 	rchild: 475 
key: 475 	color: BLACK	rank: 28	size: 1 	parent: 465 	lchild: NIL 	rchild: NIL 
key: 500 	color: BLACK	rank: 29	size: 8 	parent: 535 	lchild: 465 	rchild: 533 
key: 515 	color: RED  	rank: 30	size: 1 	parent: 533 	lchild: NIL 	rchild: NIL 
key: 533 	color: BLACK	rank: 31	size: 2 	parent: 500 	lchild: 515 	rchild: NIL 
key: 535 	color: RED  	rank: 32	size: 13	parent: 667 	lchild: 500 	rchild: 601 
key: 573 	color: RED  	rank: 33	size: 1 	parent: 588 	lchild: NIL 	rchild: NIL 
key: 588 	color: BLACK	rank: 34	size: 2 	parent: 601 	lchild: 573 	rchild: NIL 
key: 601 	color: BLACK	rank: 35	size: 4 	parent: 535 	lchild: 588 	rchild: 622 
key: 622 	color: BLACK	rank: 36	size: 1 	parent: 601 	lchild: NIL 	rchild: NIL 
key: 667 	color: BLACK	rank: 37	size: 25	parent: 379 	lchild: 535 	rchild: 878 
key: 709 	color: RED  	rank: 38	size: 1 	parent: 753 	lchild: NIL 	rchild: NIL 
key: 753 	color: BLACK	rank: 39	size: 3 	parent: 772 	lchild: 709 	rchild: 766 
key: 766 	color: RED  	rank: 40	size: 1 	parent: 753 	lchild: NIL 	rchild: NIL 
key: 772 	color: RED  	rank: 41	size: 5 	parent: 878 	lchild: 753 	rchild: 833 
key: 833 	color: BLACK	rank: 42	size: 1 	parent: 772 	lchild: NIL 	rchild: NIL 
key: 878 	color: BLACK	rank: 43	size: 11	parent: 667 	lchild: 772 	rchild: 930 
key: 884 	color: BLACK	rank: 44	size: 2 	parent: 930 	lchild: NIL 	rchild: 894 
key: 894 	color: RED  	rank: 45	size: 1 	parent: 884 	lchild: NIL 	rchild: NIL 
key: 930 	color: RED  	rank: 46	size: 5 	parent: 878 	lchild: 884 	rchild: 988 
key: 934 	color: RED  	rank: 47	size: 1 	parent: 988 	lchild: NIL 	rchild: NIL 
key: 988 	color: BLACK	rank: 48	size: 2 	parent: 930 	lchild: 934 	rchild: NIL 
