key: 31  	color: RED  	rank: 1 	size: 1 	parent: 58  	lchild: NIL 	rchild: NIL 
key: 99  	color: RED  	rank: 3 	size: 1 	parent: 58  	lchild: NIL 	rchild: NIL 
key: 58  	color: BLACK	rank: 2 	size: 3 	parent: 153 	lchild: 31  	rchild: 99  
key: 202 	color: RED  	rank: 5 	size: 1 	parent: 208 	lchild: NIL 	rchild: NIL 
key: 208 	color: BLACK	rank: 6 	size: 2 	parent: 153 	lchild: 202 	rchild: NIL 
key: 153 	color: BLACK	rank: 4 	size: 6 	parent: 217 	lchild: 58  	rchild: 208 
key: 227 	color: RED  	rank: 9 	size: 1 	parent: 224 	lchild: NIL 	rchild: NIL 
key: 224 	color: BLACK	rank: 8 	size: 2 	parent: 252 	lchild: NIL 	rchild: 227 
key: 254 	color: RED  	rank: 11	size: 1 	parent: 267 	lchild: NIL 	rchild: NIL 
key: 360 	color: RED  	rank: 13	size: 1 	parent: 267 	lchild: NIL 	rchild: NIL 
key: 267 	color: BLACK	rank: 12	size: 3 	parent: 252 	lchild: 254 	rchild: 360 
key: 252 	color: RED  	rank: 10	size: 6 	parent: 380 	lchild: 224 	rchild: 267 
key: 385 	color: RED  	rank: 16	size: 1 	parent: 384 	lchild: NIL 	rchild: NIL 
key: 384 	color: BLACK	rank: 15	size: 2 	parent: 396 	lchild: NIL 	rchild: 385 
key: 411 	color: BLACK	rank: 18	size: 1 	parent: 396 	lchild: NIL 	rchild: NIL 
key: 396 	color: RED  	rank: 17	size: 4 	parent: 380 	lchild: 384 	rchild: 411 
key: 380 	color: BLACK	rank: 14	size: 11	parent: 217 	lchild: 252 	rchild: 396 
key: 217 	color: BLACK	rank: 7 	size: 18	parent: 418 	lchild: 153 	rchild: 380 
key: 447 	color: BLACK	rank: 20	size: 1 	parent: 455 	lchild: NIL 	rchild: NIL 
key: 463 	color: RED  	rank: 22	size: 1 	parent: 517 	lchild: NIL 	rchild: NIL 
key: 593 	color: RED  	rank: 24	size: 1 	parent: 517 	lchild: NIL 	rchild: NIL 
key: 517 	color: BLACK	rank: 23	size: 3 	parent: 688 	lchild: 463 	rchild: 593 
key: 709 	color: RED  	rank: 26	size: 1 	parent: 733 	lchild: NIL 	rchild: NIL 
key: 764 	color: RED  	rank: 28	size: 1 	parent: 733 	lchild: NIL 	rchild: NIL 
key: 733 	color: BLACK	rank: 27	size: 3 	parent: 688 	lchild: 709 	rchild: 764 
key: 688 	color: RED  	rank: 25	size: 7 	parent: 455 	lchild: 517 	rchild: 733 
key: 455 	color: BLACK	rank: 21	size: 9 	parent: 779 	lchild: 447 	rchild: 688 
key: 789 	color: RED  	rank: 31	size: 1 	parent: 784 	lchild: NIL 	rchild: NIL 
key: 784 	color: BLACK	rank: 30	size: 2 	parent: 790 	lchild: NIL 	rchild: 789 
key: 808 	color: RED  	rank: 33	size: 1 	parent: 819 	lchild: NIL 	rchild: NIL 
key: 819 	color: BLACK	rank: 34	size: 2 	parent: 826 	lchild: 808 	rchild: NIL 
key: 836 	color: BLACK	rank: 36	size: 1 	parent: 826 	lchild: NIL 	rchild: NIL 
key: 826 	color: RED  	rank: 35	size: 4 	parent: 790 	lchild: 819 	rchild: 836 
key: 790 	color: BLACK	rank: 32	size: 7 	parent: 779 	lchild: 784 	rchild: 826 
key: 779 	color: RED  	rank: 29	size: 17	parent: 856 	lchild: 455 	rchild: 790 
key: 888 	color: BLACK	rank: 38	size: 1 	parent: 912 	lchild: NIL 	rchild: NIL 
key: 924 	color: BLACK	rank: 40	size: 1 	parent: 912 	lchild: NIL 	rchild: NIL 
key: 912 	color: BLACK	rank: 39	size: 3 	parent: 926 	lchild: 888 	rchild: 924 
key: 928 	color: RED  	rank: 42	size: 1 	parent: 942 	lchild: NIL 	rchild: NIL 
key: 942 	color: BLACK	rank: 43	size: 2 	parent: 944 	lchild: 928 	rchild: NIL 
key: 954 	color: RED  	rank: 46	size: 1 	parent: 949 	lchild: NIL 	rchild: NIL 
key: 949 	color: BLACK	rank: 45	size: 2 	parent: 977 	lchild: NIL 	rchild: 954 
key: 981 	color: BLACK	rank: 48	size: 1 	parent: 977 	lchild: NIL 	rchild: NIL 
key: 977 	color: RED  	rank: 47	size: 4 	parent: 944 	lchild: 949 	rchild: 981 
key: 944 	color: BLACK	rank: 44	size: 7 	parent: 926 	lchild: 942 	rchild: 977 
key: 926 	color: RED  	rank: 41	size: 11	parent: 856 	lchild: 912 	rchild: 944 
key: 856 	color: BLACK	rank: 37	size: 29	parent: 418 	lchild: 779 	rchild: 926 
key: 418 	color: BLACK	rank: 19	size: 48	parent: NIL 	lchild: 217 	rchild: 856 
