0->1: length=6  	(0, 1)
0->2: length=5  	(0, 1, 2)
0->3: length=8  	(0, 1, 2, 5, 3)
0->4: length=4  	(0, 4)
0->5: length=2  	(0, 1, 2, 5)
0->6: length=4  	(0, 6)
0->7: length=10 	(0, 1, 2, 5, 3, 7)
1->0: length=-3 	(1, 2, 5, 0)
1->2: length=-1 	(1, 2)
1->3: length=2  	(1, 2, 5, 3)
1->4: length=0  	(1, 2, 5, 4)
1->5: length=-4 	(1, 2, 5)
1->6: length=1  	(1, 2, 5, 0, 6)
1->7: length=4  	(1, 2, 5, 3, 7)
2->0: length=-2 	(2, 5, 0)
2->1: length=3  	(2, 5, 4, 1)
2->3: length=3  	(2, 5, 3)
2->4: length=1  	(2, 5, 4)
2->5: length=-3 	(2, 5)
2->6: length=2  	(2, 5, 0, 6)
2->7: length=5  	(2, 5, 3, 7)
3->0: length=2  	(3, 7, 6, 0)
3->1: length=5  	(3, 4, 1)
3->2: length=4  	(3, 4, 1, 2)
3->4: length=3  	(3, 4)
3->5: length=1  	(3, 4, 1, 2, 5)
3->6: length=1  	(3, 7, 6)
3->7: length=2  	(3, 7)
4->0: length=2  	(4, 1, 2, 0)
4->1: length=2  	(4, 1)
4->2: length=1  	(4, 1, 2)
4->3: length=5  	(4, 3)
4->5: length=-2 	(4, 1, 2, 5)
4->6: length=6  	(4, 1, 2, 0, 6)
4->7: length=7  	(4, 3, 7)
5->0: length=1  	(5, 0)
5->1: length=6  	(5, 4, 1)
5->2: length=5  	(5, 4, 1, 2)
5->3: length=6  	(5, 3)
5->4: length=4  	(5, 4)
5->6: length=5  	(5, 0, 6)
5->7: length=8  	(5, 3, 7)
6->0: length=1  	(6, 0)
6->1: length=7  	(6, 0, 1)
6->2: length=6  	(6, 0, 1, 2)
6->3: length=10 	(6, 0, 4, 3)
6->4: length=5  	(6, 0, 4)
6->5: length=3  	(6, 0, 1, 2, 5)
6->7: length=12 	(6, 0, 4, 3, 7)
7->0: length=0  	(7, 6, 0)
7->1: length=6  	(7, 6, 0, 1)
7->2: length=5  	(7, 6, 0, 1, 2)
7->3: length=5  	(7, 3)
7->4: length=4  	(7, 6, 0, 4)
7->5: length=2  	(7, 6, 0, 1, 2, 5)
7->6: length=-1 	(7, 6)
